publish_date,sentiment_polarity,Date,sentiment_subjectivity
{'$date': '2017-01-25T16:20:17.000+0000'},0.08878996312329648,2017-01-25,0.5141996419218642
{'$date': '2016-12-05T16:59:00.000+0000'},0.07626411356674515,2016-12-05,0.4639163565479355
{'$date': '2017-02-28T16:06:30.000+0000'},0.04432400932400932,2017-02-28,0.3962937062937062
{'$date': '2017-03-27T00:00:00.000+0000'},0.02275641025641026,2017-03-27,0.3421385112063078
{'$date': '2017-01-30T00:00:00.000+0000'},0.02419609079445146,2017-01-30,0.3343556716507536
{'$date': '2016-12-09T05:58:31.000+0000'},0.09695391414141413,2016-12-09,0.4824273989898989
{'$date': '2017-03-06T09:40:53.000+0000'},0.08823903396484042,2017-03-06,0.4490348182283667
{'$date': '2017-01-27T07:56:04.000+0000'},-0.1083333333333333,2017-01-27,0.4111111111111111
{'$date': '2017-01-11T00:00:00.000+0000'},0.119962962962963,2017-01-11,0.3889259259259258
{'$date': '2017-01-12T18:06:00.000+0000'},0.009811348781937018,2017-01-12,0.2977644087938205
{'$date': '2016-12-14T23:52:53.000+0000'},0.1392987012987013,2016-12-14,0.5238051948051948
{'$date': '2017-02-27T00:00:00.000+0000'},0.04036796536796537,2017-02-27,0.4279942279942281
{'$date': '2017-02-27T00:00:00.000+0000'},0.2131048387096774,2017-02-27,0.4051459293394777
{'$date': '2017-03-29T19:03:44.000+0000'},0.03166666666666667,2017-03-29,0.2527777777777778
{'$date': '2017-03-29T00:00:00.000+0000'},0.03702729044834308,2017-03-29,0.3909342801448064
{'$date': '2017-03-30T00:00:00.000+0000'},0.02981785510087398,2017-03-30,0.301308094421302
{'$date': '2017-01-04T00:00:00.000+0000'},0.1600970017636685,2017-01-04,0.3816578483245149
{'$date': '2017-02-28T10:26:24.000+0000'},0.2095701298701299,2017-02-28,0.4466409090909091
{'$date': '2017-01-19T00:00:00.000+0000'},0.1181268731268731,2017-01-19,0.4617415917415917
{'$date': '2016-12-22T18:16:00.000+0000'},0.09236111111111112,2016-12-22,0.31875
{'$date': '2016-12-21T00:00:00.000+0000'},0.1003764351590439,2016-12-21,0.307422830792396
{'$date': '2017-01-06T12:41:53.000+0000'},0.1937777777777778,2017-01-06,0.5042222222222223
{'$date': '2017-02-28T16:06:33.000+0000'},0.05837789661319073,2017-02-28,0.3971822295351707
{'$date': '2017-02-28T05:36:12.000+0000'},0.1324115646258504,2017-02-28,0.4595328798185942
{'$date': '2017-03-29T00:00:00.000+0000'},0.01219038208168643,2017-03-29,0.3190184453227932
{'$date': '2017-01-24T15:34:59.000+0000'},0.1481060606060606,2017-01-24,0.3742424242424242
{'$date': '2017-03-08T00:00:00.000+0000'},0,2017-03-08,0
{'$date': '2017-03-08T00:00:00.000+0000'},0.01867231638418079,2017-03-08,0.3073163841807909
{'$date': '2017-03-08T12:10:22.000+0000'},0.09839743589743591,2017-03-08,0.3791666666666667
{'$date': '2017-01-20T00:00:00.000+0000'},-0.08888888888888889,2017-01-20,0.3944444444444444
{'$date': '2017-01-20T00:00:00.000+0000'},5.551115123125783e-18,2017-01-20,0.3575
{'$date': '2017-01-21T00:09:09.000+0000'},0.08144866882027005,2017-01-21,0.4538447705366139
{'$date': '2016-12-19T13:13:06.000+0000'},0.07340277777777776,2016-12-19,0.474019841269841
{'$date': '2017-02-28T00:00:00.000+0000'},0.05879928315412185,2017-02-28,0.3253405017921147
{'$date': '2017-03-29T00:00:00.000+0000'},0.08666105499438832,2017-03-29,0.4170229276895943
{'$date': '2017-01-04T23:40:09.000+0000'},-0.02359307359307359,2017-01-04,0.347348484848485
{'$date': '2016-12-08T15:13:51.000+0000'},-0.0935897435897436,2016-12-08,0.5158119658119659
{'$date': '2017-02-28T00:00:00.000+0000'},0.06182291666666666,2017-02-28,0.3123958333333333
{'$date': '2017-03-15T00:00:00.000+0000'},0.06160569105691058,2017-03-15,0.3591260162601626
{'$date': '2017-03-14T13:40:52.000+0000'},0.1383763227513227,2017-03-14,0.4900352733686069
{'$date': '2017-01-10T15:37:51.000+0000'},0.1281770833333334,2017-01-10,0.4472569444444445
{'$date': '2017-01-09T05:15:08.000+0000'},0.1987462006079028,2017-01-09,0.5183763931104358
{'$date': '2017-01-09T14:39:30.000+0000'},0.1627777777777778,2017-01-09,0.4679365079365079
{'$date': '2017-02-28T06:24:11.000+0000'},0.009329004329004329,2017-02-28,0.2523593073593073
{'$date': '2017-03-09T14:49:19.000+0000'},0.09616190866190868,2017-03-09,0.3878105378105379
{'$date': '2017-03-29T00:00:00.000+0000'},0.1011975308641975,2017-03-29,0.4224320987654322
{'$date': '2017-01-12T00:00:00.000+0000'},0.1092171717171717,2017-01-12,0.4118912337662339
{'$date': '2017-01-12T00:00:00.000+0000'},0.1750325752191424,2017-01-12,0.5233505093579719
{'$date': '2016-12-27T16:39:44.000+0000'},0.08962259639585221,2016-12-27,0.3880269923874575
{'$date': '2017-02-09T14:09:54.000+0000'},0.0937405303030303,2017-02-09,0.4781628787878787
{'$date': '2017-03-02T06:46:33.000+0000'},0.1805097011422313,2017-03-02,0.5009414280498617
{'$date': '2017-03-01T15:50:03.000+0000'},0.08821428571428572,2017-03-01,0.5026700680272109
{'$date': '2016-12-08T13:52:30.000+0000'},0.1081175511731067,2016-12-08,0.4947016460905349
{'$date': '2017-02-23T16:37:54.000+0000'},0.2288277511961722,2017-02-23,0.4820574162679425
{'$date': '2017-03-11T00:00:00.000+0000'},0.06173076923076923,2017-03-11,0.3126282051282052
{'$date': '2017-03-08T00:00:00.000+0000'},0.0744489146119581,2017-03-08,0.4259310496267017
{'$date': '2017-03-10T15:21:37.000+0000'},0.1352693602693603,2017-03-10,0.4066077441077441
{'$date': '2017-01-21T00:00:00.000+0000'},0.1129188712522046,2017-01-21,0.5429232804232804
{'$date': '2016-12-23T00:00:00.000+0000'},0.1413261648745519,2016-12-23,0.4693727598566307
{'$date': '2017-02-17T10:05:13.000+0000'},0.02490867579908677,2017-02-17,0.2888522208385222
{'$date': '2017-02-15T15:26:17.000+0000'},0.03428571428571429,2017-02-15,0.2553968253968253
{'$date': '2017-02-15T15:48:31.000+0000'},0.1168929267613478,2017-02-15,0.4508273889852837
{'$date': '2017-03-22T00:00:00.000+0000'},0.0813227758635922,2017-03-22,0.3908313455252231
{'$date': '2017-01-11T13:18:00.000+0000'},0.02224137931034483,2017-01-11,0.4197126436781609
{'$date': '2016-12-13T00:00:00.000+0000'},0.1875,2016-12-13,0.4583333333333333
{'$date': '2016-12-14T02:48:12.000+0000'},0.004320728291316519,2016-12-14,0.3504761904761904
{'$date': '2016-12-12T19:15:36.000+0000'},0.2128205128205128,2016-12-12,0.4166666666666667
{'$date': '2017-02-22T16:17:36.000+0000'},0.25,2017-02-22,0.3
{'$date': '2017-03-27T00:00:00.000+0000'},0.07230820105820109,2017-03-27,0.367771164021164
{'$date': '2017-01-23T00:00:00.000+0000'},0.02236652236652236,2017-01-23,0.3462481962481962
{'$date': '2016-12-05T13:59:06.000+0000'},0.1189540911763134,2016-12-05,0.4592512425845759
{'$date': '2017-02-22T00:00:00.000+0000'},0.125,2017-02-22,0.2283333333333333
{'$date': '2017-02-23T17:28:55.000+0000'},0.2277777777777778,2017-02-23,0.5694444444444444
{'$date': '2017-03-29T00:00:00.000+0000'},0.04205535205535205,2017-03-29,0.3986650386650387
{'$date': '2016-12-12T12:19:35.000+0000'},0.06698738253616303,2016-12-12,0.4930841516207369
{'$date': '2017-02-10T12:36:04.000+0000'},0.1789177489177489,2017-02-10,0.4984956709956709
{'$date': '2017-03-30T00:00:00.000+0000'},0.03417145695834221,2017-03-30,0.3251252572564048
{'$date': '2017-01-26T21:04:19.000+0000'},0,2017-01-26,0
{'$date': '2016-12-21T00:00:00.000+0000'},0.02403829966329965,2016-12-21,0.4524810606060605
{'$date': '2016-12-20T04:04:34.000+0000'},0.1646819818211571,2016-12-20,0.461655211912944
{'$date': '2016-12-21T09:45:11.000+0000'},0.1187335022700876,2016-12-21,0.4387419491078028
{'$date': '2017-02-23T04:47:56.000+0000'},0.01223985890652557,2017-02-23,0.2446384479717813
{'$date': '2017-03-17T00:00:00.000+0000'},-0.01675,2017-03-17,0.2869583333333334
{'$date': '2017-03-16T16:58:44.000+0000'},0.08466545709192767,2017-03-16,0.4305141753671165
{'$date': '2017-01-27T12:13:35.000+0000'},0.1011749482401656,2017-01-27,0.4399124064341455
{'$date': '2016-12-30T00:00:00.000+0000'},0.03894426723374092,2016-12-30,0.3845139996455785
{'$date': '2017-02-27T00:00:00.000+0000'},0.05354297693920335,2017-02-27,0.2610796645702306
{'$date': '2017-02-25T05:57:33.000+0000'},0.1457062890812891,2017-02-25,0.5136297498797502
{'$date': '2017-02-24T14:15:00.000+0000'},0.1319033530571992,2017-02-24,0.5413214990138067
{'$date': '2017-01-06T16:54:54.000+0000'},0.05136054421768707,2017-01-06,0.5338321995464852
{'$date': '2016-12-06T11:47:07.000+0000'},0.09613041613041612,2016-12-06,0.4038309738309738
{'$date': '2016-12-05T00:00:00.000+0000'},0.1034303350970018,2016-12-05,0.4275661375661375
{'$date': '2017-02-23T00:00:00.000+0000'},0.0359039548022599,2017-02-23,0.2896610169491526
{'$date': '2017-02-22T09:44:20.000+0000'},0.02817161410018552,2017-02-22,0.3421808905380335
{'$date': '2017-02-23T14:04:45.000+0000'},0.07394055106319256,2017-02-23,0.4631888289907157
{'$date': '2017-03-29T16:55:14.000+0000'},0.1197255522255522,2017-03-29,0.4147663447663446
{'$date': '2017-01-12T07:38:02.000+0000'},-0.06120507399577168,2017-01-12,0.255091613812544
{'$date': '2016-12-07T00:00:00.000+0000'},-0.03998443077390445,2016-12-07,0.52015455304929
{'$date': '2016-12-07T15:15:49.000+0000'},0.1319047619047619,2016-12-07,0.4815238095238095
{'$date': '2017-02-03T00:00:00.000+0000'},0.1089506172839506,2017-02-03,0.4791446208112874
{'$date': '2017-03-18T04:36:05.000+0000'},0.1450139442839898,2017-03-18,0.4846022908844391
{'$date': '2017-01-16T14:06:52.000+0000'},0.2361881487687939,2017-01-16,0.4892796629893403
{'$date': '2017-01-17T05:30:53.000+0000'},0.1383835833078257,2017-01-17,0.4719959697990001
{'$date': '2017-01-17T17:29:11.000+0000'},0.1073051948051948,2017-01-17,0.3893217893217894
{'$date': '2016-12-29T13:23:44.000+0000'},0.1194100091827364,2016-12-29,0.4988751147842057
{'$date': '2016-12-29T00:00:00.000+0000'},0.1106060606060606,2016-12-29,0.4148989898989899
{'$date': '2017-03-20T16:22:41.000+0000'},0.1321560846560847,2017-03-20,0.4722751322751322
{'$date': '2017-03-24T17:40:05.000+0000'},0.0957757296466974,2017-03-24,0.3147721454173067
{'$date': '2017-03-24T12:42:52.000+0000'},0.1304944444444445,2017-03-24,0.4627555555555556
{'$date': '2017-01-26T01:00:00.000+0000'},0.08388278388278389,2017-01-26,0.2631868131868133
{'$date': '2016-12-19T00:00:00.000+0000'},0.1796780303030303,2016-12-19,0.4429545454545454
{'$date': '2016-12-16T16:43:20.000+0000'},0.01630434782608696,2016-12-16,0.4778985507246377
