publish_date,sentiment_subjectivity,sentiment_polarity,Date
{'$date': '2016-12-23T00:00:00.000+0000'},0.4886363636363636,0.1434659090909091,2016-12-23
{'$date': '2016-12-09T12:17:34.000+0000'},0.37486544986545,0.08364045864045865,2016-12-09
{'$date': '2017-01-19T00:00:00.000+0000'},0.4005050505050505,0.2272727272727273,2017-01-19
{'$date': '2017-02-24T00:00:00.000+0000'},0.5435739887352792,0.05898617511520737,2017-02-24
{'$date': '2016-12-20T00:00:00.000+0000'},0.5179606625258798,0.00944616977225673,2016-12-20
{'$date': '2016-11-10T14:00:00.000+0000'},0.5811779358207928,0.09307239057239057,2016-11-10
{'$date': '2017-01-25T00:00:00.000+0000'},0.5267551892551893,-0.1374007936507936,2017-01-25
{'$date': '2016-09-22T00:00:00.000+0000'},0.5181265782828284,0.1387626262626263,2016-09-22
{'$date': '2016-11-15T00:00:00.000+0000'},0.6415538362346871,0.1227675693101225,2016-11-15
{'$date': '2017-02-23T00:00:00.000+0000'},0.3831224661581804,0.0713572802858517,2017-02-23
{'$date': '2016-12-14T00:00:00.000+0000'},0.4641071428571428,0.1025,2016-12-14
{'$date': '2017-01-27T00:00:00.000+0000'},0.3527729677729677,0.08927368927368926,2017-01-27
{'$date': '2016-10-04T00:00:00.000+0000'},0.436883541295306,0.1432088744588744,2016-10-04
{'$date': '2016-12-11T00:00:00.000+0000'},0.4545454545454545,0.1363636363636364,2016-12-11
{'$date': '2017-02-06T00:00:00.000+0000'},0.4034456534456535,0.07936524186524188,2017-02-06
{'$date': '2016-12-07T00:00:00.000+0000'},0.52015455304929,-0.03998443077390445,2016-12-07
{'$date': '2017-02-16T00:00:00.000+0000'},0.2529761904761905,-0.03771645021645022,2017-02-16
{'$date': '2017-01-19T00:00:00.000+0000'},0.6533950617283951,0.1975308641975308,2017-01-19
{'$date': '2017-01-27T00:00:00.000+0000'},0.2991345539706196,0.08294913419913423,2017-01-27
{'$date': '2016-11-15T14:53:11.000+0000'},0.6086807181889148,-0.1039528777233695,2016-11-15
{'$date': '2016-11-30T00:00:00.000+0000'},0.4087121212121212,0.1446969696969697,2016-11-30
{'$date': '2016-09-26T19:43:15.000+0000'},0.4368874417880097,0.1309069387052341,2016-09-26
{'$date': '2016-09-21T04:01:00.000+0000'},0.5346136691591237,0.1464728453364817,2016-09-21
{'$date': '2016-11-07T00:00:00.000+0000'},0.4317221855357447,0.141628145865434,2016-11-07
{'$date': '2016-10-31T00:00:00.000+0000'},0.5692051820728291,0.04840686274509804,2016-10-31
{'$date': '2017-01-15T00:00:00.000+0000'},0.4795968156137647,0.1565081810844523,2017-01-15
{'$date': '2016-12-29T00:00:00.000+0000'},0.4602214452214453,0.06087412587412588,2016-12-29
{'$date': '2016-11-03T00:00:00.000+0000'},0.4902228134519804,0.1241523619127786,2016-11-03
{'$date': '2016-12-04T00:00:00.000+0000'},0.5005644719265412,0.03377226285846974,2016-12-04
{'$date': '2017-01-14T00:00:00.000+0000'},0.4864060963618486,0.1610755149471964,2017-01-14
{'$date': '2017-02-13T00:00:00.000+0000'},0.4258885147774036,0.1224961252739031,2017-02-13
