Date,sentiment_polarity,sentiment_subjectivity,Open,High,Low,Close,Volume,Change,Class_Label
42740,0.137428977,0.376400162,786.08,794.48,785.02,794.02,1335167,7.94,1
42741,0.193777778,0.504222222,795.26,807.9,792.2,806.15,1640170,10.89,1
42741,0.051360544,0.5338322,795.26,807.9,792.2,806.15,1640170,10.89,1
42744,0.198746201,0.518376393,806.4,809.97,802.83,806.65,1274645,0.25,1
42744,0.162777778,0.467936508,806.4,809.97,802.83,806.65,1274645,0.25,1
42744,0.110813736,0.413759214,806.4,809.97,802.83,806.65,1274645,0.25,1
42745,0.128177083,0.447256944,807.86,809.13,803.51,804.79,1176780,-3.07,0
42745,0.027755144,0.29544061,807.86,809.13,803.51,804.79,1176780,-3.07,0
42745,0.146125169,0.45877211,807.86,809.13,803.51,804.79,1176780,-3.07,0
42746,0.119962963,0.388925926,805,808.15,801.37,807.91,1065936,2.91,1
42746,0.070057664,0.505174851,805,808.15,801.37,807.91,1065936,2.91,1
42746,0.022241379,0.419712644,805,808.15,801.37,807.91,1065936,2.91,1
42746,0.133132608,0.457915233,805,808.15,801.37,807.91,1065936,2.91,1
42746,0.107346796,0.495005757,805,808.15,801.37,807.91,1065936,2.91,1
42747,0.009811349,0.297764409,807.14,807.39,799.17,806.36,1353057,-0.78,0
42747,0.121052905,0.530165668,807.14,807.39,799.17,806.36,1353057,-0.78,0
42747,0.109217172,0.411891234,807.14,807.39,799.17,806.36,1353057,-0.78,0
42747,0.151766021,0.533864878,807.14,807.39,799.17,806.36,1353057,-0.78,0
42747,0.175032575,0.523350509,807.14,807.39,799.17,806.36,1353057,-0.78,0
42747,0.047062955,0.451059224,807.14,807.39,799.17,806.36,1353057,-0.78,0
42752,0.138383583,0.47199597,807.08,807.14,800.37,804.61,1362115,-2.47,0
42754,0.171444236,0.572760025,805.12,809.48,801.8,802.18,919325,-2.94,0
42754,0.171444236,0.572760025,805.12,809.48,801.8,802.18,919325,-2.94,0
42754,0.118126873,0.461741592,805.12,809.48,801.8,802.18,919325,-2.94,0
42758,0.066666667,0.433333333,807.25,820.87,803.74,819.31,1963628,12.06,1
42758,0.01,0.323,807.25,820.87,803.74,819.31,1963628,12.06,1
42758,0.022366522,0.346248196,807.25,820.87,803.74,819.31,1963628,12.06,1
42758,0.072683983,0.325108225,807.25,820.87,803.74,819.31,1963628,12.06,1
42758,0.3203125,0.49375,807.25,820.87,803.74,819.31,1963628,12.06,1
42759,0.148106061,0.374242424,822.3,825.9,817.82,823.87,1474010,1.57,1
42759,0.194191919,0.560044893,822.3,825.9,817.82,823.87,1474010,1.57,1
42760,0.088789963,0.514199642,829.62,835.77,825.06,835.67,1627304,6.05,1
42761,0.12966148,0.34509282,837.81,838,827.01,832.15,2973891,-5.66,0
42761,0.047267591,0.329940935,837.81,838,827.01,832.15,2973891,-5.66,0
42761,0.026923077,0.100295858,837.81,838,827.01,832.15,2973891,-5.66,0
42761,0.122426236,0.495645933,837.81,838,827.01,832.15,2973891,-5.66,0
42761,0.070833333,0.225,837.81,838,827.01,832.15,2973891,-5.66,0
42761,0.083882784,0.263186813,837.81,838,827.01,832.15,2973891,-5.66,0
42761,0.143055556,0.426215278,837.81,838,827.01,832.15,2973891,-5.66,0
42762,0.132583301,0.454791257,834.71,841.95,820.44,823.31,2965771,-11.4,0
42762,0.140103869,0.399332952,834.71,841.95,820.44,823.31,2965771,-11.4,0
42762,0.054464286,0.244757326,834.71,841.95,820.44,823.31,2965771,-11.4,0
42762,0.101174948,0.439912406,834.71,841.95,820.44,823.31,2965771,-11.4,0
42762,0.116026335,0.429352878,834.71,841.95,820.44,823.31,2965771,-11.4,0
42762,0.237639162,0.526640321,834.71,841.95,820.44,823.31,2965771,-11.4,0
42765,0.163689726,0.477054202,814.66,815.84,799.8,802.32,3246573,-12.34,0
42765,0.024196091,0.334355672,814.66,815.84,799.8,802.32,3246573,-12.34,0
42765,0.140538131,0.527260475,814.66,815.84,799.8,802.32,3246573,-12.34,0
42765,0.13847603,0.455117722,814.66,815.84,799.8,802.32,3246573,-12.34,0
42765,0.135311462,0.401401099,814.66,815.84,799.8,802.32,3246573,-12.34,0
42765,0.111142481,0.375301872,814.66,815.84,799.8,802.32,3246573,-12.34,0
42766,0.067444121,0.408600583,796.86,801.25,790.52,796.79,2160556,-0.07,0
42767,0.120962644,0.3872578,799.68,801.19,791.19,795.7,2029744,-3.98,0
42767,0.172421311,0.428543921,799.68,801.19,791.19,795.7,2029744,-3.98,0
42769,0.108950617,0.479144621,802.99,806,800.37,801.49,1463448,-1.5,0
42779,0.086167712,0.376880878,816,820.96,815.49,819.24,1213324,3.24,1
42779,0.146156417,0.447237077,816,820.96,815.49,819.24,1213324,3.24,1
42780,0.018986185,0.300354278,819,823,816,820.45,1054732,1.45,1
42780,0.004364333,0.34117729,819,823,816,820.45,1054732,1.45,1
42780,0.177382415,0.503147303,819,823,816,820.45,1054732,1.45,1
42780,0.067785494,0.390432099,819,823,816,820.45,1054732,1.45,1
42781,0.121923035,0.378974528,819.36,823,818.47,818.98,1313617,-0.38,0
42781,0.077391098,0.320383523,819.36,823,818.47,818.98,1313617,-0.38,0
42781,0.060660173,0.362914863,819.36,823,818.47,818.98,1313617,-0.38,0
42781,0.067995495,0.368941441,819.36,823,818.47,818.98,1313617,-0.38,0
42781,0.056435185,0.357453704,819.36,823,818.47,818.98,1313617,-0.38,0
42781,0.022334656,0.301212522,819.36,823,818.47,818.98,1313617,-0.38,0
42781,0.000106749,0.299686639,819.36,823,818.47,818.98,1313617,-0.38,0
42781,0.116892927,0.450827389,819.36,823,818.47,818.98,1313617,-0.38,0
42783,0.118561905,0.405101876,823.02,828.07,821.66,828.07,1611039,5.05,1
42783,0.064068627,0.34254902,823.02,828.07,821.66,828.07,1611039,5.05,1
42783,0.050913978,0.338602151,823.02,828.07,821.66,828.07,1611039,5.05,1
42783,0.055256944,0.360159722,823.02,828.07,821.66,828.07,1611039,5.05,1
42783,0.005637959,0.302974482,823.02,828.07,821.66,828.07,1611039,5.05,1
42787,0.038535714,0.295818027,828.66,833.45,828.35,831.66,1262337,3,1
42787,0.001650993,0.264858934,828.66,833.45,828.35,831.66,1262337,3,1
42787,0.166174566,0.398305398,828.66,833.45,828.35,831.66,1262337,3,1
