publish_date,sentiment_subjectivity,sentiment_polarity,Date,Open,High,Low,Close,Volume
{'$date': '2016-11-21T00:00:00.000+0000'},0.507436112274822,0.11436775590001401,2016-11-21,762.61,769.7,760.6,769.2,1330639.0
{'$date': '2016-10-14T07:00:00.000+0000'},0.3967797017797018,0.061153515100883515,2016-10-14,781.65,783.95,776.0,778.53,852487.0
{'$date': '2016-10-14T00:00:00.000+0000'},0.5576666666666665,0.1462222222222222,2016-10-14,781.65,783.95,776.0,778.53,852487.0
{'$date': '2016-10-14T00:00:00.000+0000'},0.5576666666666665,0.1462222222222222,2016-10-14,781.65,783.95,776.0,778.53,852487.0
{'$date': '2016-09-16T00:00:00.000+0000'},0.4011363636363638,0.03522727272727275,2016-09-16,769.75,769.75,764.66,768.88,2049338.0
{'$date': '2016-09-19T00:00:00.000+0000'},0.461,0.0495,2016-09-19,772.42,774.0,764.44,765.7,1172824.0
{'$date': '2016-09-19T00:00:00.000+0000'},0.4691145218417946,0.2042266824085006,2016-09-19,772.42,774.0,764.44,765.7,1172824.0
{'$date': '2016-09-19T00:00:00.000+0000'},0.4691145218417946,0.2042266824085006,2016-09-19,772.42,774.0,764.44,765.7,1172824.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.4268298059964727,0.0001322751322751411,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.4986225895316805,-0.08980716253443523,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.4986225895316805,-0.08980716253443523,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.3557765151515151,0.1243371212121212,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T16:59:00.000+0000'},0.4639163565479355,0.07626411356674515,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T13:59:06.000+0000'},0.4592512425845759,0.1189540911763134,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.4275661375661375,0.1034303350970018,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-12-05T00:00:00.000+0000'},0.4393055555555555,0.06819444444444445,2016-12-05,757.71,763.9,752.9,762.52,1394223.0
{'$date': '2016-09-13T00:00:00.000+0000'},0.4905798990281747,0.0188453500522466,2016-09-13,764.48,766.22,755.8,759.69,1395046.0
{'$date': '2016-05-04T00:00:00.000+0000'},0.4102234753550543,0.1883886800334169,2016-05-04,690.49,699.75,689.01,695.7,1688569.0
{'$date': '2016-05-04T13:02:20.000+0000'},0.4768121119386942,0.030798947887555488,2016-05-04,690.49,699.75,689.01,695.7,1688569.0
{'$date': '2016-05-04T13:02:20.000+0000'},0.4768121119386942,0.030798947887555488,2016-05-04,690.49,699.75,689.01,695.7,1688569.0
{'$date': '2016-08-10T00:00:00.000+0000'},0.3339556277056277,0.03424479166666667,2016-08-10,783.75,786.81,782.78,784.68,786363.0
{'$date': '2016-11-17T00:00:00.000+0000'},0.5271783407848982,0.0537704918032787,2016-11-17,766.92,772.7,764.23,771.23,1286961.0
{'$date': '2017-01-20T00:00:00.000+0000'},0.5356060606060606,0.16305361305361302,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T00:00:00.000+0000'},0.4396220896220896,0.2165906165906167,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T00:00:00.000+0000'},0.3323665223665224,0.1332178932178932,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T00:00:00.000+0000'},0.4396220896220896,0.2165906165906167,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T00:00:00.000+0000'},0.3323665223665224,0.1332178932178932,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T14:34:05.000+0000'},0.4084791435954226,0.09447984831705762,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T16:29:41.000+0000'},0.4947716513505986,0.1351434140907825,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T17:23:00.000+0000'},0.5197784098890292,0.1996172215198764,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T10:49:48.000+0000'},0.3775983575248279,0.045342182327476464,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T11:00:05.000+0000'},0.3083333333333333,0.03380952380952381,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T00:00:00.000+0000'},0.3944444444444444,-0.08888888888888889,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2017-01-20T00:00:00.000+0000'},0.3575,5.551115123125783e-18,2017-01-20,806.91,806.91,801.69,805.02,1670045.0
{'$date': '2016-10-11T00:00:00.000+0000'},0.4244444444444445,0.2833333333333334,2016-10-11,786.66,792.28,780.58,783.07,1372461.0
{'$date': '2016-09-01T00:00:00.000+0000'},0.4539591155970466,0.1965759814897746,2016-09-01,769.25,771.02,764.3,768.78,925131.0
{'$date': '2016-10-05T00:00:00.000+0000'},0.5438202370020551,0.2039756329529057,2016-10-05,779.31,782.07,775.65,776.47,1461151.0
{'$date': '2016-09-27T00:00:00.000+0000'},0.4466183574879227,0.1576526130873957,2016-09-27,775.5,785.99,774.31,783.01,1153247.0
{'$date': '2016-09-27T00:00:00.000+0000'},0.3909363909363909,0.1056442806442806,2016-09-27,775.5,785.99,774.31,783.01,1153247.0
{'$date': '2016-11-16T00:00:00.000+0000'},0.4711309523809525,0.2004133597883598,2016-11-16,755.2,766.36,750.51,764.48,1472594.0
{'$date': '2016-10-24T00:00:00.000+0000'},0.4276913875598087,0.1880881180223286,2016-10-24,804.9,815.18,804.82,813.11,1697514.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.473819997207094,0.1488357073034492,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T13:38:01.000+0000'},0.5021043771043773,-0.045202020202020216,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T15:13:31.000+0000'},0.3381654381654382,0.08632268632268633,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T16:05:38.000+0000'},0.4123170646557743,0.1486939673229996,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T07:23:01.000+0000'},0.43904761904761896,0.07699855699855702,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T08:30:00.000+0000'},0.4244641094641095,0.1346085371085371,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T14:21:00.000+0000'},0.4882662231559289,0.09897117180205414,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
{'$date': '2017-01-23T00:00:00.000+0000'},0.4333333333333333,0.06666666666666668,2017-01-23,807.25,820.87,803.74,819.31,1963628.0
